# This file controls 301 redirects for the live site.
# Edit, add, or remove rows; changes take effect on the next `npm run build` (or `npm run dev`).
# Format: old_url,new_url,status_code,reason
# Lines starting with # are ignored by the Next.js redirect loader.
old_url,new_url,status_code,reason
/resources/e-books/cybersecurity-on-a-shoestring-budget,/resources/cybersecurity-on-a-shoestring-budget,301,Relocated via editor
/resources/e-books/how-to-read-a-financial-statement,/resources/how-to-read-a-financial-statement,301,Relocated via editor
/resources/e-books/making-the-move-to-subscription-based-pricing,/resources/making-the-move-to-subscription-based-pricing,301,Relocated via editor
/resources/e-books/maximizing-your-tax-refund-a-strategic-guide-to-tax-planning,/resources/maximizing-your-tax-refund-a-strategic-guide-to-tax-planning,301,Relocated via editor
/resources/e-books/protecting-your-financial-data-a-small-business-owner-s-guide,/resources/protecting-your-financial-data-a-small-business-owner-s-guide,301,Relocated via editor
/resources/e-books/the-small-business-owner-guide-to-inflation,/resources/the-small-business-owner-guide-to-inflation,301,Relocated via editor
/resources/quick-reads/4-steps-to-get-ahead-of-higher-taxes,/resources/4-steps-to-get-ahead-of-higher-taxes,301,Relocated via editor
/resources/quick-reads/5-tips-to-build-a-healthy-money-mindset-and-grow-your-finances,/resources/5-tips-to-build-a-healthy-money-mindset-and-grow-your-finances,301,Relocated via editor
/resources/quick-reads/irs-gives-taxpayers-new-way-to-report-tax-fraud,/resources/irs-gives-taxpayers-new-way-to-report-tax-fraud,301,Relocated via editor
/resources/quick-reads/summer-camps-may-qualify-for-dependent-care-tax-credit,/resources/summer-camps-may-qualify-for-dependent-care-tax-credit,301,Relocated via editor
/resources/quick-reads/why-small-businesses-are-going-bankrupt-and-how-to-avoid-it,/resources/why-small-businesses-are-going-bankrupt-and-how-to-avoid-it,301,Relocated via editor
/resources/quick-reads/with-odds-of-a-recession-going-up-here-are-5-things-small-businesses-should-do-now,/resources/with-odds-of-a-recession-going-up-here-are-5-things-small-businesses-should-do-now,301,Relocated via editor
/resources/e-books/everything-you-need-to-know-about-1099s,/resources/everything-you-need-to-know-about-1099s,301,Relocated via editor
/resources/e-books/the-new-KPIs-of-business,/resources/the-new-KPIs-of-business,301,Relocated via editor
/services/personal-income-tax,/services/tax-plus,301,Relocated via AI
/services/bookkeeping,/services/outsourced-accounting/bookkeeping,301,Relocated via AI
/services/payroll,/services/outsourced-accounting/payroll,301,Relocated via AI
/services/tax,/services/outsourced-accounting/tax,301,Relocated via AI
/services/entity-type-analysis,/services/business-foundation-services/entity-type-analysis,301,Relocated via AI
/services/accounting-system-setup,/services/business-foundation-services/accounting-system-setup,301,Relocated via AI
/services/retirement-plan-analysis,/services/business-foundation-services/retirement-plan-analysis,301,Relocated via AI
/services/audit-protection,/services/outsourced-accounting/tax/audit-protection,301,Relocated via AI
/services/outsourced-accounting/tax/audit-protection,/services/outsourced-accounting/business-tax/audit-protection,301,Relocated via AI
/services/outsourced-accounting/tax,/services/outsourced-accounting/business-tax,301,Relocated via AI
/services/outsourced-accounting/bookkeeping,/services/bookkeeping,301,Nested via nav editor
/services/outsourced-accounting/payroll,/services/payroll,301,Nested via nav editor
/services/outsourced-accounting/business-tax,/services/business-tax,301,Nested via nav editor
/services/outsourced-accounting/business-tax/audit-protection,/services/audit-protection,301,Nested via nav editor
/services/business-foundation-services/entity-type-analysis,/services/entity-type-analysis,301,Nested via nav editor
/services/business-foundation-services/accounting-system-setup,/services/accounting-system-setup,301,Nested via nav editor
/services/business-foundation-services/retirement-plan-analysis,/services/retirement-plan-analysis,301,Nested via nav editor
/who-we-are,/industries/who-we-are,301,Nested via nav editor
/resources/forms-documents-and-links,/resources/resource-library/forms-documents-and-links,301,Nested via nav editor
/resources/refund-tracker,/resources/resource-library/refund-tracker,301,Nested via nav editor
/resources/video-library,/resources/resource-library/video-library,301,Nested via nav editor
/services/business-tax,/what-we-do/business-tax,301,Relocated via AI
/services/tax-plus,/what-we-do/tax-plus,301,Relocated via AI
/services/outsourced-accounting,/what-we-do/outsourced-accounting,301,Relocated via AI
/services/business-foundation-services,/what-we-do/business-foundation-services,301,Relocated via AI
/services/business-management-services,/what-we-do/business-management-services,301,Relocated via AI
/services,/what-we-do,301,Relocated via AI
/what-we-do/tax-plus,/what-we-do/personal-income-tax,301,Relocated via AI
/what-we-do/business-tax,/what-we-do/tax,301,Relocated via AI
/resources/careers,/industries/who-we-are/careers,301,Nested via nav editor
/industries/who-we-are/careers,/who-we-are/careers,301,Relocated via AI
/industries/who-we-are,/who-we-are,301,Relocated via AI
/industries/professional-service-providers,/specialties/professional-service-providers,301,Relocated via AI
